,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
0,600000.SH,20180428,20171231,中央汇金资产管理有限责任公司,398521409.0,1.36
1,002927.SZ,20190626,20190624,长园集团股份有限公司,20473324.0,11.993
2,002927.SZ,20190626,20190624,深圳市泰永科技股份有限公司,93329600.0,54.67
3,002927.SZ,20190424,20190331,华夏人寿保险股份有限公司-自有资金,2430000.0,1.99
4,002927.SZ,20190424,20190331,姚芳,257000.0,0.21
5,002927.SZ,20190424,20190331,戴利,160100.0,0.13
6,002927.SZ,20190424,20190331,郭健明,151000.0,0.12
7,002927.SZ,20190424,20190331,吴惠仙,147800.0,0.12
8,002927.SZ,20190424,20190331,李康宁,132400.0,0.11
9,002927.SZ,20190424,20190331,雷红英,2600000.0,2.13
10,002927.SZ,20190424,20190331,深圳市天宇恒盈投资合伙企业(有限合伙),3900000.0,3.2
11,300696.SZ,20190426,20190331,谢鹏,15866610.0,13.54
12,300696.SZ,20190426,20190331,成都富润财富股权投资基金合伙企业(有限合伙),5760720.0,4.91
13,300696.SZ,20190426,20190331,上海诚毅新能源创业投资有限公司,5467069.0,4.66
14,300696.SZ,20190426,20190331,成都天合创富企业管理合伙企业(有限合伙),4218900.0,3.6
15,300696.SZ,20190426,20190331,四川海特航空创业投资基金合伙企业(有限合伙),3871122.0,3.3
16,300696.SZ,20190426,20190331,成都市新申创业投资有限公司,2761147.0,2.36
17,300696.SZ,20190426,20190331,羊肖来,910000.0,0.78
18,300696.SZ,20190426,20190331,冉光文,16216445.0,13.83
19,300696.SZ,20190426,20190331,丁洪涛,15866780.0,13.54
20,300696.SZ,20190426,20190331,范庆新,15866610.0,13.54
21,002960.SZ,20190722,20190722,北京北大青鸟环宇科技股份有限公司,91836720.0,51.02
22,002960.SZ,20190722,20190722,康亚臻,1836720.0,1.02
23,002960.SZ,20190722,20190722,蔡为民,32823720.0,18.23
24,002960.SZ,20190722,20190722,孙广智,1836720.0,1.02
25,002960.SZ,20190722,20190722,刘青,2112210.0,1.17
26,002960.SZ,20190722,20190722,辜竹竺,2557260.0,1.42
27,002960.SZ,20190722,20190722,杨玮,3259980.0,1.81
28,002960.SZ,20190722,20190722,王欣,4088520.0,2.27
29,002960.SZ,20190722,20190722,曾德生,4657680.0,2.59
30,002960.SZ,20190722,20190722,陈文佳,24489720.0,13.61
31,300742.SZ,20190501,20190331,伊犁苏新投资基金合伙企业(有限合伙),4633617.0,5.9
32,300742.SZ,20190501,20190331,李占江,22260154.0,28.36
33,300742.SZ,20190501,20190331,北京香山财富投资管理有限公司-北京香山财富创投一号投资中心(有限合伙),2040000.0,2.6
34,300742.SZ,20190501,20190331,江苏高投邦盛创业投资合伙企业(有限合伙),1989000.0,2.53
35,300742.SZ,20190501,20190331,南京越博进驰股权投资基金合伙企业(有限合伙),8160000.0,10.4
36,300742.SZ,20190501,20190331,福建省兴和股权投资有限合伙企业,1530000.0,1.95
37,300742.SZ,20190501,20190331,福建华兴汇源投资合伙企业(有限合伙),1530000.0,1.95
38,300742.SZ,20190501,20190331,上海歌石股权投资基金合伙企业(有限合伙),2203200.0,2.81
39,300742.SZ,20190501,20190331,上海汉王歌石股权投资基金合伙企业(有限合伙),3733200.0,4.76
40,300742.SZ,20190501,20190331,南京协恒股权投资基金合伙企业(有限合伙),4080000.0,5.2
