ts_code,name,area,industry,list_date,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees,business_scope,main_business
000001,平安银行,深圳,银行,19910403,SZSE,谢永林,胡跃飞,周强,1717041.1366,19871222,广东,深圳市,www.bank.pingan.com,pabdsh@pingan.com.cn,33708.0,(一)吸收公众存款；(二)发放短期、中期和长期贷款；(三)办理国内外结算；(四)办理票据承兑与贴现；(五)发行金融债券；(六)代理发行、代理兑付、承销政府债券；(七)买卖政府债券、金融债券；(八)从事同业拆借；(九)买卖、代理买卖外汇；(十)从事银行卡业务；(十一)提供信用证服务及担保；(十二)代理收付款项及代理保险业务；(十三)提供保管箱服务；(十四)结汇、售汇业务；(十五)离岸银行业务；(十六)资产托管业务；(十七)办理黄金业务；(十八)财务顾问、资信调查、咨询、见证业务；(十九)经有关监管机构批准的其他业务。,"主要业务:贷款,拆借,存放等同业业务,债券投资."
000002,万科A,深圳,全国地产,19910129,SZSE,郁亮,祝九胜,朱旭,1130214.3001,19840530,广东,深圳市,www.vanke.com,ir@vanke.com;peterluk@vanke.com,104300.0,房地产开发；兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)。,房地产开发和物业服务
000004,国农科技,深圳,生物制药,19910114,SZSE,黄翔,黄翔,徐文苏,8397.6684,19860505,广东,深圳市,www.sz000004.cn,gnkjsz@163.com;jyz6187@qq.com;xuliruan@hotmail.com,210.0,通讯、计算机、软件、新材料、生物技术和生物特征识别技术、新药、生物制品、医用检测试剂和设备的研究与开发；信息咨询；计算机软件及生物技术的培训(以上各项不含限制项目)、兴办实业(具体项目另行申报)、房地产开发与经营。,"主要产品:AFIS(指纹自动识别系统),注射用血凝酶.主要业务:IT业及技术服务,制药销售."
000005,世纪星源,深圳,环境保护,19901210,SZSE,丁芃,郑列列,罗晓春,105853.6842,19890508,广东,深圳市,www.fountain.com.cn,fountain@sfc.com.cn;xiaochun@sfc.com.cn,745.0,房地产、酒店、物业管理、商务咨询、顾问、计算机软件开发、投资及其它第三产业。,"主要业务:交通及基础设施经营,低碳技术集成和环境处理服务,不动产开发管理及工程监理,酒店经营及综合物管服务,不动产项目权益投资组合"
000006,深振业A,深圳,区域地产,19920427,SZSE,赵宏伟,朱新宏,杜汛,134999.5046,19890525,广东,深圳市,www.zhenye.com,szzygp@126.com,377.0,土地开发、房产销售及租赁、物业管理。本公司主业为房地产开发与经营。,"主要产品或提供的服务:提供商品住宅,以及提供物业租赁服务."
000007,全新好,深圳,酒店餐饮,19920413,SZSE,周原,周原,陈伟彬,34644.8044,19830311,广东,深圳市,www.sz000007.com,stock0007@126.com;867904718@qq.com;sz000007@126.com,84.0,投资兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；自有物业租赁；环保产品的技术开发；信息咨询(不含限制项目)；项目投资(不含限制项目)；矿业投资；矿产品的销售(不含专营、专控、专卖商品)，经营进出口业务(具体内容以工商部门核准的内容为准)；投资金融服务项目并进行投资管理；从事其他投资与投资管理(具体内容以工商部门核准的内容为准)。,主营业务:物业管理和房屋租赁业
000008,神州高铁,北京,运输设备,19920507,SZSE,王志全,钟岩,王志刚,278079.5346,19891011,北京,北京市,www.shenzhou-gaotie.com,houxiaojing@vip.163.com;dongmi@shenzhou-gaotie.com,2631.0,轨道交通、计算机网络的技术开发、技术咨询、技术转让、技术服务；销售开发后的产品；计算机系统服务；货物进出口；技术进出口；代理进出口；项目投资；物业管理。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),"主营业务:轨道交通,酒店服务"
000009,中国宝安,深圳,综合类,19910625,SZSE,陈政立,陈政立,郭山清,257921.3965,19901008,广东,深圳市,www.chinabaoan.com,zgbajt@163.net,13620.0,新材料、新能源材料、新能源等高新技术产业项目的投资及经营，现代生物医药项目的投资及经营，房地产开发经营。,主要业务:房地产和生物医药
000010,*ST美丽,深圳,建筑施工,19951027,SZSE,陈飞霖,周成斌,金小刚,81985.4713,19890109,广东,深圳市,,shenhuaxin000010@163.com,545.0,高新技术项目的开发及相关产品的技术服务，计算机网络系统工程、计算机软、硬件的技术开发、生产(具体项目另行申报)、安装及系统集成，电子技术产品的技术开发、生产，信息咨询服务(以上不含限制项目)；相关产品的销售及其他国内商业、物资供销业(不含专营、专控、专卖商品)；投资兴办实业、高科技项目(具体项目另行申报)。经营深贸管审证字第207号《审定书》规定的进出口项目。研究、开发、种植、销售园林植物；园林环境景观的设计、园林绿化工程和园林维护；销售建筑材料、园林机械设备、体育用品；技术开发；投资与资产管理。,主营业务:园林绿化业务
000011,深物业A,深圳,区域地产,19920330,SZSE,刘声向,王航军,范维平,59597.9092,19830117,广东,深圳市,www.szwuye.com.cn,000011touzizhe@szwuye.com.cn;000011touzizhe@163.com,5504.0,房地产开发及商品房销售，商品楼宇的建筑、管理，房屋租赁，建设监理，国内商业，物资供销业(不含专营、专卖、专控商品),"主营业务:本公司以房地产开发为主业,出租车运营,物业管理与房屋租赁等为辅业."
